Name,Year,Rec,Yards,TD,Team Rec,Team Attempts,Team Yard,Team TD,MSREC,MSYD,MSTD,YPC,YDPTA,TDPTA,Rush Attempts,Rush Yards,Rush TD,P Ret,P Yds,P TD,K Ret,K Yds,K TD,BO Age,Age,Draft Pick,Height,Weight,40 time,Vert,Broad,3 cone,Shuttle,Adj CarAV
Julio Jones,2011,78,1133,7,253,362,3395,24,0.308300395,0.333726068,0.291666667,14.52564103,3.129834254,0.019337017,10,139,2,12,130,0,7,162,0,19,21,6,74,220,4.42,38.5,135,6.66,4.25,12.33
Antonio Brown,2010,110,1198,9,328,477,3553,28,0.335365854,0.337179848,0.321428571,10.89090909,2.511530398,0.018867925,72,531,4,53,822,3,113,2612,2,21,21,195,70,186,4.57,33.5,105,6.98,4.18,11.00
AJ Green,2011,57,848,9,152,249,2239,19,0.375,0.378740509,0.473684211,14.87719298,3.40562249,0.036144578,7,105,0,2,25,0,0,0,0,21,22,4,75,211,4.49,34.5,126,6.91,4.21,10.83
TY Hilton,2012,72,1038,7,238,389,2794,15,0.302521008,0.371510379,0.466666667,14.41666667,2.668380463,0.017994859,69,498,7,49,614,2,105,2855,4,21,22,92,69,183,4.34,35.5,119,7.03,4.36,10.40
Brandon Marshall,2006,74,1195,11,233,393,3045,24,0.317596567,0.392446634,0.458333333,16.14864865,3.040712468,0.027989822,3,5,0,3,33,0,0,0,0,21,21,119,76,229,4.56,37,120,6.96,4.31,9.36
Dez Bryant,2010,17,323,4,43,73,602,5,0.395348837,0.53654485,0.8,19,4.424657534,0.054794521,2,16,0,22,431,3,6,143,0,20,21,24,74,225,4.52,38,133,7.1,4.46,9.00
Randall Cobb,2011,84,1017,7,293,448,3443,23,0.28668942,0.295381934,0.304347826,12.10714286,2.270089286,0.015625,228,1313,22,63,619,2,44,1081,0,20,20,64,70,191,4.55,33.5,115,7.08,4.34,8.67
Jeremy Maclin,2009,102,1260,13,404,563,4625,41,0.252475248,0.272432432,0.317073171,12.35294118,2.238010657,0.023090586,91,668,6,48,577,3,85,2049,2,20,20,19,72,198,4.48,35.5,120,7.06,4.25,7.86
Mike Wallace,2009,39,784,7,190,340,2875,27,0.205263158,0.272695652,0.259259259,20.1025641,2.305882353,0.020588235,11,94,0,0,0,0,56,1344,2,22,22,84,72,199,4.33,40,129,6.9,4.27,7.75
Greg Jennings,2006,98,1259,14,243,385,2712,30,0.403292181,0.464233038,0.466666667,12.84693878,3.27012987,0.036363636,18,92,0,49,541,2,41,921,0,21,22,52,71,197,4.46,36.5,117,6.68,4.16,7.70
Alshon Jeffery,2012,49,762,8,191,315,2359,19,0.256544503,0.323018228,0.421052632,15.55102041,2.419047619,0.025396825,0,0,0,0,0,0,1,35,0,20,21,45,75,216,4.48,36.5,122,6.71,4.17,7.60
Golden Tate,2010,93,1496,15,301,447,3882,30,0.3089701,0.385368367,0.5,16.08602151,3.346756152,0.033557047,31,227,3,26,287,1,44,909,0,20,21,60,70,199,4.42,35,120,7.12,4.34,7.00
Emmanuel Sanders,2010,98,1339,7,286,472,3666,22,0.342657343,0.365248227,0.318181818,13.66326531,2.836864407,0.014830508,9,40,0,42,477,1,13,288,0,22,22,82,71,186,4.41,39.5,126,6.64,4.1,6.57
Brandon LaFell,2010,57,792,11,198,336,2363,19,0.287878788,0.33516716,0.578947368,13.89473684,2.357142857,0.032738095,8,37,1,0,0,0,1,10,0,22,23,78,74,211,4.65,36,115,6.81,4.23,6.29
Torrey Smith,2011,67,1055,12,219,389,2791,27,0.305936073,0.378000717,0.444444444,15.74626866,2.712082262,0.030848329,21,66,1,1,0,0,123,2983,3,20,21,58,73,204,4.44,41,126,6.72,4.13,6.17
Santonio Holmes,2006,53,977,11,196,302,2708,18,0.270408163,0.360782866,0.611111111,18.43396226,3.235099338,0.036423841,3,18,0,38,385,1,19,425,0,20,21,25,70,188,4.35,38,126,6.82,4.26,6.00
Michael Floyd,2012,100,1147,9,302,473,3084,21,0.331125828,0.371919585,0.428571429,11.47,2.424947146,0.019027484,4,30,1,2,44,0,0,0,0,21,22,13,74,220,4.47,36.5,122,7.11,4.37,5.80
Rueben Randle,2012,53,917,8,173,278,2135,21,0.306358382,0.429508197,0.380952381,17.30188679,3.298561151,0.028776978,0,0,0,4,5,0,0,0,0,20,20,63,75,210,4.55,31,121,6.99,4.36,5.50
Mike Thomas,2009,74,825,4,266,410,3172,24,0.278195489,0.260088272,0.166666667,11.14864865,2.012195122,0.009756098,34,287,2,30,391,2,41,963,0,21,21,107,68,195,4.4,40.5,126,6.65,4.28,5.50
Mike Williams,2010,49,746,6,138,218,1519,11,0.355072464,0.491112574,0.545454545,15.2244898,3.422018349,0.027522936,1,-7,0,0,0,0,0,0,0,20,22,101,73,221,4.56,33.5,116,6.9,4.31,5.40
